2013-10-08 08:37:05,111 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@65919c1f: startup date [Tue Oct 08 08:37:05 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-08 08:37:06,672 | INFO  | PListStore:[C:\Users\sdf\Desktop\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-08 08:37:06,764 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\sdf\Desktop\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,153 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-26753-1381192626987-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,183 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 08:37:07,185 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 08:37:07,190 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 08:37:07,191 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 08:37:07,193 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-26753-1381192626987-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,194 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,195 | WARN  | Store limit is 102400 mb, whilst the data directory: C:\Users\sdf\Desktop\apache-activemq-5.8.0\bin\..\data\kahadb only has 40609 mb of usable space | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,196 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: C:\Users\sdf\Desktop\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage only has 40609 mb of usable space | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:37:07,836 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2013-10-08 08:37:08,046 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2013-10-08 08:37:08,131 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2013-10-08 08:37:08,574 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2013-10-08 08:44:58,776 | WARN  | Failed to add Connection ID:sdf-PC-26767-1381193098655-1:1, reason: javax.jms.InvalidClientIDException: Broker: localhost - Client: server already connected from tcp://127.0.0.1:26764 | org.apache.activemq.broker.TransportConnection | ActiveMQ Transport: tcp:///127.0.0.1:26768@60000
2013-10-08 08:48:56,391 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7e973f09: startup date [Tue Oct 08 08:48:56 CST 2013]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2013-10-08 08:48:57,236 | INFO  | PListStore:[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2013-10-08 08:48:57,260 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\Code\Java\apache-activemq-5.8.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:48:57,581 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-08 08:48:57,635 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-08 08:48:57,642 | INFO  | Recovery replayed 3 operations from the journal in 0.037 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2013-10-08 08:48:57,803 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-26831-1381193337664-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:48:57,865 | INFO  | Listening for connections at: tcp://sdf-PC:60000?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 08:48:57,866 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 08:48:57,872 | INFO  | Listening for connections at: amqp://sdf-PC:5672?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2013-10-08 08:48:57,873 | INFO  | Connector amqp Started | org.apache.activemq.broker.TransportConnector | main
2013-10-08 08:48:57,875 | INFO  | Apache ActiveMQ 5.8.0 (localhost, ID:sdf-PC-26831-1381193337664-0:1) started | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:48:57,875 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2013-10-08 08:48:58,315 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
