"TIMET","MSDT","MACHINE","CPUBUSY","IDLE","WAITIO","MEMTOTAL","MEMUSED","MEMFREE"
1324098000,"12/17/2011   0:00:00","host0",1,98.9,0.1,32909536,21061024.7,11848511.3
1324101600,"12/17/2011   1:00:00","host0",1.1,98.8,0.1,32909536,20980990.9,11928545.1
1324105200,"12/17/2011   2:00:00","host0",1.5,98.3,0.2,32909536,20871165.1,12038370.9
1324108800,"12/17/2011   3:00:00","host0",1.2,98.7,0.1,32909536,20650639.9,12258896.1
1324112400,"12/17/2011   4:00:00","host0",1,98.9,0.1,32909536,20676822.4,12232713.6
1324116000,"12/17/2011   5:00:00","host0",1,99,0.1,32909536,20690293.2,12219242.8
1324119600,"12/17/2011   6:00:00","host0",1.4,98.5,0.1,32909536,20868412.1,12041123.9
1324123200,"12/17/2011   7:00:00","host0",1,98.9,0.1,32909536,20911801.5,11997734.5
1324126800,"12/17/2011   8:00:00","host0",1,98.9,0.1,32909536,20913974.9,11995561.1
1324130400,"12/17/2011   9:00:00","host0",1,98.9,0.1,32909536,20915894.9,11993641.1
1324134000,"12/17/2011  10:00:00","host0",1,99,0.1,32909536,20919141.9,11990394.1
1324137600,"12/17/2011  11:00:00","host0",1,98.9,0.1,32909536,20927028.1,11982507.9
1324141200,"12/17/2011  12:00:00","host0",1,98.9,0.1,32909536,20963202.1,11946333.9
1324144800,"12/17/2011  13:00:00","host0",1,98.9,0.1,32909536,20991113.9,11918422.1
1324148400,"12/17/2011  14:00:00","host0",1,98.9,0.1,32909536,21000880.9,11908655.1
1324152000,"12/17/2011  15:00:00","host0",1,98.9,0.1,32909536,21017396.5,11892139.5
1324155600,"12/17/2011  16:00:00","host0",1,98.9,0.1,32909536,21045551.1,11863984.9
1324159200,"12/17/2011  17:00:00","host0",1,99,0.1,32909536,21052193.9,11857342.1
1324162800,"12/17/2011  18:00:00","host0",1,99,0.1,32909536,21055291.1,11854244.9
1324166400,"12/17/2011  19:00:00","host0",1,98.9,0.1,32909536,21059870.1,11849665.9
1324170000,"12/17/2011  20:00:00","host0",1,98.9,0.1,32909536,21060502.7,11849033.3
1324173600,"12/17/2011  21:00:00","host0",1.2,98.8,0.1,32909536,21066449.7,11843086.3
1324177200,"12/17/2011  22:00:00","host0",1,99,0.1,32909536,21068391.5,11841144.5
1324180800,"12/17/2011  23:00:00","host0",1,98.9,0.1,32909536,21073078,11836458
1324184400,"12/18/2011   0:00:00","host0",1,98.9,0.1,32909536,21077252.3,11832283.7
1324188000,"12/18/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21056010.4,11853525.6
1324191600,"12/18/2011   2:00:00","host0",1.4,98.4,0.2,32909536,20980772.8,11928763.2
1324195200,"12/18/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20707799.1,12201736.9
1324198800,"12/18/2011   4:00:00","host0",1,98.9,0.1,32909536,20717020.4,12192515.6
1324202400,"12/18/2011   5:00:00","host0",1,98.9,0.1,32909536,20739738.9,12169797.1
1324206000,"12/18/2011   6:00:00","host0",1.4,98.5,0.1,32909536,20955928.1,11953607.9
1324209600,"12/18/2011   7:00:00","host0",1,98.9,0.1,32909536,21009223.5,11900312.5
1324213200,"12/18/2011   8:00:00","host0",1,98.9,0.1,32909536,21011207.9,11898328.1
1324216800,"12/18/2011   9:00:00","host0",1,98.9,0.1,32909536,21013507.7,11896028.3
1324220400,"12/18/2011  10:00:00","host0",1,98.9,0.1,32909536,21038343.1,11871192.9
1324224000,"12/18/2011  11:00:00","host0",1,98.9,0.1,32909536,21083421.6,11826114.4
1324227600,"12/18/2011  12:00:00","host0",1,98.9,0.1,32909536,21109971.7,11799564.3
1324231200,"12/18/2011  13:00:00","host0",1,98.9,0.1,32909536,21120478.9,11789057.1
1324234800,"12/18/2011  14:00:00","host0",1,98.9,0.1,32909536,21122330.4,11787205.6
1324238400,"12/18/2011  15:00:00","host0",1,98.9,0.1,32909536,21117394.8,11792141.2
1324242000,"12/18/2011  16:00:00","host0",1,98.9,0.1,32909536,21120802.4,11788733.6
1324245600,"12/18/2011  17:00:00","host0",1,98.9,0.1,32909536,21124043.1,11785492.9
1324249200,"12/18/2011  18:00:00","host0",1,98.9,0.1,32909536,21127587.2,11781948.8
1324252800,"12/18/2011  19:00:00","host0",1,98.9,0.1,32909536,21130785.1,11778750.9
1324256400,"12/18/2011  20:00:00","host0",1,98.9,0.1,32909536,21138094.1,11771441.9
1324260000,"12/18/2011  21:00:00","host0",1,98.9,0.1,32909536,21160412,11749124
1324263600,"12/18/2011  22:00:00","host0",1,98.9,0.1,32909536,21182284,11727252
1324267200,"12/18/2011  23:00:00","host0",1,98.9,0.1,32909536,21185595.5,11723940.5
1324270800,"12/19/2011   0:00:00","host0",1,98.9,0.1,32909536,21201936,11707600
1324274400,"12/19/2011   1:00:00","host0",1.2,98.7,0.1,32909536,20926137.2,11983398.8
1324278000,"12/19/2011   2:00:00","host0",1.5,98.3,0.2,32909536,20891546,12017990
1324281600,"12/19/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20816932.3,12092603.7
1324285200,"12/19/2011   4:00:00","host0",1.4,98.5,0.1,32909536,20999349.4,11910186.6
1324288800,"12/19/2011   5:00:00","host0",1,98.9,0.1,32909536,21145213.1,11764322.9
1324292400,"12/19/2011   6:00:00","host0",1,98.9,0.1,32909536,21116741.7,11792794.3
1324296000,"12/19/2011   7:00:00","host0",1,98.9,0.1,32909536,21119001.7,11790534.3
1324299600,"12/19/2011   8:00:00","host0",1,98.9,0.1,32909536,21120903.1,11788632.9
1324303200,"12/19/2011   9:00:00","host0",1,98.9,0.1,32909536,21123797.6,11785738.4
1324306800,"12/19/2011  10:00:00","host0",1,98.9,0.1,32909536,21136623.1,11772912.9
1324310400,"12/19/2011  11:00:00","host0",1,98.9,0.1,32909536,21181393.3,11728142.7
1324314000,"12/19/2011  12:00:00","host0",1,98.9,0.1,32909536,21229274.7,11680261.3
1324317600,"12/19/2011  13:00:00","host0",1,98.9,0.1,32909536,21235997.2,11673538.8
1324321200,"12/19/2011  14:00:00","host0",1,98.9,0.1,32909536,21256876.8,11652659.2
1324324800,"12/19/2011  15:00:00","host0",1,98.9,0.1,32909536,21286980.3,11622555.7
1324328400,"12/19/2011  16:00:00","host0",1,98.9,0.1,32909536,21321321.2,11588214.8
1324332000,"12/19/2011  17:00:00","host0",1,98.9,0.1,32909536,21278360.1,11631175.9
1324335600,"12/19/2011  18:00:00","host0",1,98.9,0.1,32909536,21024244.4,11885291.6
1324339200,"12/19/2011  19:00:00","host0",1,98.9,0.1,32909536,21060384.4,11849151.6
1324342800,"12/19/2011  20:00:00","host0",1,98.9,0.1,32909536,21106901.9,11802634.1
1324346400,"12/19/2011  21:00:00","host0",1,98.9,0.1,32909536,21131044.8,11778491.2
1324350000,"12/19/2011  22:00:00","host0",1,98.9,0.1,32909536,21157769.7,11751766.3
1324353600,"12/19/2011  23:00:00","host0",1,98.9,0.1,32909536,21167953.9,11741582.1
1324357200,"12/20/2011   0:00:00","host0",1,98.9,0.1,32909536,21154745.9,11754790.1
1324360800,"12/20/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21020509.6,11889026.4
1324364400,"12/20/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21038373.9,11871162.1
1324368000,"12/20/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20975988,11933548
1324371600,"12/20/2011   4:00:00","host0",1.4,98.4,0.1,32909536,20990858.3,11918677.7
1324375200,"12/20/2011   5:00:00","host0",1,98.9,0.1,32909536,20971374.7,11938161.3
1324378800,"12/20/2011   6:00:00","host0",1,98.9,0.1,32909536,20948610.1,11960925.9
1324382400,"12/20/2011   7:00:00","host0",1,98.9,0.1,32909536,20931539.1,11977996.9
1324386000,"12/20/2011   8:00:00","host0",1,98.9,0.1,32909536,20934390.9,11975145.1
1324389600,"12/20/2011   9:00:00","host0",1,98.9,0.1,32909536,20934222.4,11975313.6
1324393200,"12/20/2011  10:00:00","host0",1,98.9,0.1,32909536,20939881.5,11969654.5
1324396800,"12/20/2011  11:00:00","host0",1,98.9,0.1,32909536,20983522.7,11926013.3
1324400400,"12/20/2011  12:00:00","host0",1,98.9,0.1,32909536,21033801.5,11875734.5
1324404000,"12/20/2011  13:00:00","host0",1,98.9,0.1,32909536,21057909.3,11851626.7
1324407600,"12/20/2011  14:00:00","host0",1,98.9,0.1,32909536,21091579.3,11817956.7
1324411200,"12/20/2011  15:00:00","host0",1,98.9,0.1,32909536,21107710,11801826
1324414800,"12/20/2011  16:00:00","host0",1,98.9,0.1,32909536,21111909.2,11797626.8
1324418400,"12/20/2011  17:00:00","host0",1,98.9,0.1,32909536,21117172.8,11792363.2
1324422000,"12/20/2011  18:00:00","host0",1,98.9,0.1,32909536,21119973.1,11789562.9
1324425600,"12/20/2011  19:00:00","host0",1,98.9,0.1,32909536,21122310.5,11787225.5
1324429200,"12/20/2011  20:00:00","host0",1,98.9,0.1,32909536,21128419.2,11781116.8
1324432800,"12/20/2011  21:00:00","host0",1,98.9,0.1,32909536,21160996.4,11748539.6
1324436400,"12/20/2011  22:00:00","host0",1,98.9,0.1,32909536,21166850.9,11742685.1
1324440000,"12/20/2011  23:00:00","host0",1,98.9,0.1,32909536,21162020,11747516
1324443600,"12/21/2011   0:00:00","host0",1,98.9,0.1,32909536,21158140.7,11751395.3
1324447200,"12/21/2011   1:00:00","host0",1.2,98.7,0.1,32909536,21095686.5,11813849.5
1324450800,"12/21/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21113833.6,11795702.4
1324454400,"12/21/2011   3:00:00","host0",1.1,98.8,0.1,32909536,21066081.9,11843454.1
1324458000,"12/21/2011   4:00:00","host0",1.4,98.4,0.1,32909536,21051964.3,11857571.7
1324461600,"12/21/2011   5:00:00","host0",1,98.9,0.1,32909536,21021704.7,11887831.3
1324465200,"12/21/2011   6:00:00","host0",1,98.9,0.1,32909536,21031305.9,11878230.1
1324468800,"12/21/2011   7:00:00","host0",1,98.9,0.1,32909536,21033555.9,11875980.1
1324472400,"12/21/2011   8:00:00","host0",1,98.9,0.1,32909536,21047509.7,11862026.3
1324476000,"12/21/2011   9:00:00","host0",1,98.9,0.1,32909536,21080731.5,11828804.5
1324479600,"12/21/2011  10:00:00","host0",1,98.9,0.1,32909536,21106191.7,11803344.3
1324483200,"12/21/2011  11:00:00","host0",1,98.9,0.1,32909536,21132831.7,11776704.3
1324486800,"12/21/2011  12:00:00","host0",1,98.9,0.1,32909536,21163658.8,11745877.2
1324490400,"12/21/2011  13:00:00","host0",1,98.9,0.1,32909536,21166940.7,11742595.3
1324494000,"12/21/2011  14:00:00","host0",1,98.9,0.1,32909536,21170680.3,11738855.7
1324497600,"12/21/2011  15:00:00","host0",1,98.9,0.1,32909536,21197033.3,11712502.7
1324501200,"12/21/2011  16:00:00","host0",1,98.9,0.1,32909536,21209100.9,11700435.1
1324504800,"12/21/2011  17:00:00","host0",1,98.9,0.1,32909536,21232472.4,11677063.6
1324508400,"12/21/2011  18:00:00","host0",1,98.9,0.1,32909536,21236434.7,11673101.3
1324512000,"12/21/2011  19:00:00","host0",1,98.9,0.1,32909536,21239634.9,11669901.1
1324515600,"12/21/2011  20:00:00","host0",1,98.9,0.1,32909536,21241600.8,11667935.2
1324519200,"12/21/2011  21:00:00","host0",1,98.9,0.1,32909536,21243776.5,11665759.5
1324522800,"12/21/2011  22:00:00","host0",1,98.9,0.1,32909536,21230498.3,11679037.7
1324526400,"12/21/2011  23:00:00","host0",1,98.9,0.1,32909536,21211969.2,11697566.8
1324530000,"12/22/2011   0:00:00","host0",1,98.9,0.1,32909536,21213183.1,11696352.9
1324533600,"12/22/2011   1:00:00","host0",1.2,98.7,0.1,32909536,21167415.5,11742120.5
1324537200,"12/22/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21184866,11724670
1324540800,"12/22/2011   3:00:00","host0",1,98.9,0.1,32909536,21132118,11777418
1324544400,"12/22/2011   4:00:00","host0",1.4,98.5,0.1,32909536,21106774.3,11802761.7
1324548000,"12/22/2011   5:00:00","host0",1,98.9,0.1,32909536,21060603.2,11848932.8
1324551600,"12/22/2011   6:00:00","host0",1,98.9,0.1,32909536,21081677.6,11827858.4
1324555200,"12/22/2011   7:00:00","host0",1,98.9,0.1,32909536,21083922.4,11825613.6
1324558800,"12/22/2011   8:00:00","host0",1,98.9,0.1,32909536,21085783.5,11823752.5
1324562400,"12/22/2011   9:00:00","host0",1,98.9,0.1,32909536,21108910.9,11800625.1
1324566000,"12/22/2011  10:00:00","host0",1,98.9,0.1,32909536,21135234,11774302
1324569600,"12/22/2011  11:00:00","host0",1,98.9,0.1,32909536,21189628.4,11719907.6
1324573200,"12/22/2011  12:00:00","host0",1,98.9,0.1,32909536,21231362.8,11678173.2
1324576800,"12/22/2011  13:00:00","host0",1,98.9,0.1,32909536,21234086.8,11675449.2
1324580400,"12/22/2011  14:00:00","host0",1,98.9,0.1,32909536,21235637.1,11673898.9
1324584000,"12/22/2011  15:00:00","host0",1,98.9,0.1,32909536,21250154.9,11659381.1
1324587600,"12/22/2011  16:00:00","host0",1,98.9,0.1,32909536,21275001.2,11634534.8
1324591200,"12/22/2011  17:00:00","host0",1,98.9,0.1,32909536,21297487.7,11612048.3
1324594800,"12/22/2011  18:00:00","host0",1,98.9,0.1,32909536,21313428.9,11596107.1
1324598400,"12/22/2011  19:00:00","host0",1,98.9,0.1,32909536,21316808.7,11592727.3
1324602000,"12/22/2011  20:00:00","host0",1,98.9,0.1,32909536,21319032.1,11590503.9
1324605600,"12/22/2011  21:00:00","host0",1,98.9,0.1,32909536,21324809.5,11584726.5
1324609200,"12/22/2011  22:00:00","host0",1,98.9,0.1,32909536,21348756.3,11560779.7
1324612800,"12/22/2011  23:00:00","host0",1,98.9,0.1,32909536,21365484.4,11544051.6
1324616400,"12/23/2011   0:00:00","host0",1,98.9,0.1,32909536,21366725.2,11542810.8
1324620000,"12/23/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21285305.2,11624230.8
1324623600,"12/23/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21151436,11758100
1324627200,"12/23/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20895839.3,12013696.7
1324630800,"12/23/2011   4:00:00","host0",1.4,98.5,0.1,32909536,21075149.3,11834386.7
1324634400,"12/23/2011   5:00:00","host0",1,98.9,0.1,32909536,21165896.7,11743639.3
1324638000,"12/23/2011   6:00:00","host0",1,98.9,0.1,32909536,21169234.3,11740301.7
1324641600,"12/23/2011   7:00:00","host0",1,98.9,0.1,32909536,21185011.9,11724524.1
1324645200,"12/23/2011   8:00:00","host0",1,98.9,0.1,32909536,21212719.7,11696816.3
1324648800,"12/23/2011   9:00:00","host0",1,98.9,0.1,32909536,21224031.7,11685504.3
1324652400,"12/23/2011  10:00:00","host0",1,98.9,0.1,32909536,21241996.7,11667539.3
1324656000,"12/23/2011  11:00:00","host0",1,98.9,0.1,32909536,21272359.5,11637176.5
1324659600,"12/23/2011  12:00:00","host0",1,98.9,0.1,32909536,21317834.5,11591701.5
1324663200,"12/23/2011  13:00:00","host0",1,98.9,0.1,32909536,21322145.7,11587390.3
1324666800,"12/23/2011  14:00:00","host0",1,98.9,0.1,32909536,21326138.7,11583397.3
1324670400,"12/23/2011  15:00:00","host0",1,98.9,0.1,32909536,21348214.5,11561321.5
1324674000,"12/23/2011  16:00:00","host0",1,98.9,0.1,32909536,21371840.5,11537695.5
1324677600,"12/23/2011  17:00:00","host0",1,98.9,0.1,32909536,21376432.4,11533103.6
1324681200,"12/23/2011  18:00:00","host0",1,98.9,0.1,32909536,21380689.9,11528846.1
1324684800,"12/23/2011  19:00:00","host0",1,98.9,0.1,32909536,21382868.3,11526667.7
1324688400,"12/23/2011  20:00:00","host0",1,98.9,0.1,32909536,21384883.5,11524652.5
1324692000,"12/23/2011  21:00:00","host0",1,98.9,0.1,32909536,21386825.2,11522710.8
1324695600,"12/23/2011  22:00:00","host0",1,98.9,0.1,32909536,21404876.7,11504659.3
1324699200,"12/23/2011  23:00:00","host0",1,98.9,0.1,32909536,21418169.6,11491366.4
1324702800,"12/24/2011   0:00:00","host0",1,98.9,0.1,32909536,21405557.2,11503978.8
1324706400,"12/24/2011   1:00:00","host0",1.1,98.8,0.1,32909536,21337751.6,11571784.4
1324710000,"12/24/2011   2:00:00","host0",1.5,98.3,0.2,32909536,21231605.6,11677930.4
1324713600,"12/24/2011   3:00:00","host0",1.1,98.8,0.1,32909536,20968205.9,11941330.1
1324717200,"12/24/2011   4:00:00","host0",1,98.9,0.1,32909536,20986178,11923358
